data;ID_motorista;mapa;caixas
2025-03-01;220;278555;2
2025-03-01;220;278555;7
2025-03-01;220;278555;9
2025-03-01;220;278555;16
2025-03-01;220;278555;2
2025-03-01;220;278555;1
2025-03-01;220;278555;15
2025-03-01;220;278555;1
2025-03-01;220;278555;5
2025-03-01;220;278555;1
2025-03-01;220;278555;3
2025-03-01;159;278565;7
2025-03-01;502;278566;37
2025-03-01;675;278570;3
2025-03-01;216;278571;1
2025-03-03;604;278585;3
2025-03-03;672;278606;1
2025-03-03;672;278606;2
2025-03-03;162;278609;
2025-03-03;217;278614;
2025-03-03;217;278614;
2025-03-03;217;278614;
2025-03-04;246;278625;728
2025-03-04;502;278644;9
2025-03-04;159;278646;7
2025-03-04;341;278648;7
2025-03-04;141;278659;0
2025-03-04;141;278660;0
2025-03-04;141;278661;0
2025-03-05;732;278676;27
2025-03-05;246;278679;95
2025-03-05;246;278679;134
2025-03-05;246;278679;302
2025-03-05;246;278679;82
2025-03-05;246;278679;95
2025-03-05;246;278679;134
2025-03-05;502;278706;20
2025-03-05;81;278707;12
2025-03-05;81;278707;10
2025-03-05;81;278707;12
2025-03-05;81;278707;2
2025-03-05;113;278721;
2025-03-05;141;278722;0
2025-03-05;141;278725;18
2025-03-06;338;278736;125
2025-03-06;672;278765;16
2025-03-06;83;278768;12
2025-03-06;141;278778;
2025-03-06;141;278779;
2025-03-06;141;278790;
2025-03-06;141;278791;0
2025-03-06;141;278791;
2025-03-06;141;278792;
2025-03-06;141;278793;
2025-03-06;141;278793;0
2025-03-06;141;278794;
2025-03-07;672;278827;2
2025-03-07;141;278840;
2025-03-07;162;278841;
2025-03-07;162;278841;
2025-03-07;162;278841;
2025-03-07;217;278845;
2025-03-07;217;278845;
2025-03-08;502;278860;6
2025-03-08;502;278860;9
2025-03-08;159;278872;34
2025-03-08;159;278872;2
2025-03-08;159;278872;12
2025-03-08;159;278872;17
2025-03-08;159;278872;15
2025-03-08;159;278872;17
2025-03-08;159;278872;8
2025-03-08;159;278872;16
2025-03-08;159;278872;5
2025-03-08;159;278872;14
2025-03-08;159;278872;13
2025-03-08;159;278872;3
2025-03-08;159;278872;8
2025-03-08;159;278872;2
